week_number,start_date,end_date,week_type,project_deadline
1,2024-01-08,2024-01-15,normal,
2,2024-01-15,2024-01-22,normal,
3,2024-01-22,2024-01-29,high-stress,Project 2 Deadline
4,2024-01-29,2024-02-05,normal,
5,2024-02-05,2024-02-12,normal,
6,2024-02-12,2024-02-19,normal,
7,2024-02-19,2024-02-26,high-stress,Project 3 Deadline
8,2024-02-26,2024-03-04,normal,
9,2024-03-04,2024-03-11,normal,
10,2024-03-11,2024-03-18,high-stress,Project 4 Deadline
11,2024-03-18,2024-03-25,normal,
12,2024-03-25,2024-04-01,normal,
13,2024-04-01,2024-04-08,normal,
14,2024-04-08,2024-04-15,high-stress,Project 5 Deadline
15,2024-04-15,2024-04-22,normal,
16,2024-04-22,2024-04-29,normal,
